,CLEAN_SPECOBJID,RA,DEC
273,381778228219504640,195.19626,-2.3253576
274,381780427242760192,195.80007,-1.4620719
276,383987147046152192,199.99863,-3.3778328
279,384016284104288256,198.93569,-2.5259966
281,385067692115126272,238.06848,-0.48547862
282,385075938452334592,237.68745,-0.34900228
283,385095179905820672,237.08946,-0.74882454
285,385178467911624704,236.46919,0.39029287
286,385210078870923264,237.40185,0.72314565
289,387360173892593664,240.71185,-0.55273956
290,387409926793750528,240.1976,1.0953246
291,388538850307237888,242.09846,0.76515032
293,388580356871186432,242.62788,1.1845097
296,389636162962089984,243.18458,-0.34023142
297,389647982712088576,243.08174,-0.23443199
301,391876692412491776,248.30726,-0.5532329
304,391926720191555584,248.30388,0.95561407
307,391972899679922176,249.63724,0.41766137
311,391923696954009600,248.30388,0.95561407
313,391974274488887296,249.63724,0.41766137
314,392970981829797888,255.73496,63.416386
315,392982801579796480,255.54865,63.012871
316,393006715957700608,253.111,62.773233
318,393081207870482432,254.23022,63.722748
320,393094676887922688,255.35133,64.669959
321,393095776399550464,255.55225,64.808744
325,394176871073343488,258.36806,65.988282
328,395194194274052096,257.89006,60.804081
330,395195020333836288,257.89006,60.804081
333,396451760681543680,259.21645,63.416838
336,396461383002122240,259.33077,63.953177
340,397554570995197952,256.62913,60.954736
343,398695315802187776,260.13109,60.853588
344,398712907988232192,261.91383,61.480903
345,399708790577981440,260.07363,56.795774
347,399861347816335360,260.67708,58.504772
348,400920177362888704,261.00614,59.814903
349,401965813491329024,261.81323,55.557693
350,401984230311094272,260.14282,54.749118
352,401993301282023424,260.81869,55.485756
354,402015291514578944,259.40499,54.834293
356,403159883202979840,261.33158,56.485473
360,404262693415970816,260.65898,53.600462
361,404322891677591552,261.59772,54.199826
363,405370450693089280,264.66863,54.107425
366,405454838210521088,263.28389,54.545629
368,405488648193075200,265.53383,54.562383
370,405372925198231552,264.66863,54.107425
373,405488648797054976,265.53383,54.562383
375,407621979303077888,264.66863,54.107425
379,407730556076320768,265.21414,55.5666
380,407739077291436032,265.53383,54.562383
384,409832547447498752,247.41627,-0.96726421
387,409919683744000000,245.41766,0.94691908
391,409987303709108224,247.49273,0.47706467
392,413227014670018560,261.81323,55.557693
393,413242682710714368,260.14282,54.749118
395,413254502460712960,260.81869,55.485756
397,413272919280478208,259.40499,54.834293
403,417786415871453184,327.19725,-1.049783
404,417806756836567040,326.92347,0.39680574
406,418902421767481344,329.32219,-0.83369955
408,418996704889563136,330.81835,0.025244207
409,419988732796495872,332.27986,-0.3270053
410,420035462040676352,331.07145,-0.46929504
411,420106105662760960,332.16933,0.96741201
412,421231730742028288,333.97729,1.0499034
414,423358192135727104,338.10208,-0.57760548
415,423444228920600576,336.55971,0.33903879
416,424547863750535168,338.24583,-0.41704287
418,427888174153361408,345.24469,-0.46530726
419,427912088531265536,344.71945,-0.89288115
420,427917586089404416,344.26335,-0.38550162
427,431304082339162112,350.2119,-0.29216935
428,431365929868224512,351.61627,0.8559583
429,431383522054268928,351.8718,0.082551099
430,432436029610289152,352.49488,1.115991
432,433498158782244864,355.69202,-1.1631722
433,433645493340366848,356.45912,0.13609167
434,434647146940098560,357.72215,-0.39816307
435,434690852527302656,356.7743,1.177112
436,434692776672651264,356.45912,0.13609167
437,434704871300556800,357.23344,0.13603377
438,434722188608694272,357.89056,0.98491044
440,436929733163247616,1.259512,-0.73015927
442,437977292900165632,4.4739792,-1.0067887
443,438062779929225216,2.5733473,-0.37224232
446,439131780461651968,5.7254525,-0.2730311
447,439180708729088000,4.4739792,-1.0067887
449,439229911874430976,5.4210577,0.48293937
450,439133431138379776,5.7254525,-0.2730311
451,439181259894188032,4.4739792,-1.0067887
453,439230188161624064,5.4210577,0.48293937
455,440304958798063616,6.1143808,-0.728796
456,441410517924341760,8.5782955,-0.95747703
457,441418489383643136,8.7070959,0.080836779
458,442499309330524160,11.865183,-0.31081646
460,444816804779419648,13.895101,-0.36763688
461,444894870104991744,15.480451,-0.17464371
462,444906140099176448,15.953597,-0.21238281
463,445911369158518784,15.953597,-0.21238281
464,445953150600374272,15.099855,0.40578631
468,446026817879435264,17.338159,0.90707843
470,447145020835784704,19.012025,0.10971766
474,448198352891308032,18.977568,0.99820923
476,449308860105123840,20.475663,-0.086145673
480,450515849044846592,24.346916,1.1592965
481,450532341719263232,24.99758,0.32744961
482,451615085257844736,25.400208,0.54891089
483,451660714990397440,26.374661,0.25317128
484,452682436254394368,27.421918,-0.79944177
485,452734113300899840,28.025943,1.2554334
486,452773695719499776,28.130113,0.022402362
487,453856715981481984,29.013996,0.36442599
489,454869914956621824,32.970184,-0.69382732
490,454951828572891136,30.612775,0.96627063
491,454957326131030016,30.403693,0.57916122
494,454871290436675584,32.970184,-0.69382732
495,454954303564572672,30.612775,0.96627063
496,454959801122711552,30.403693,0.57916122
499,456034297837545472,33.579694,-0.63463656
500,456061510750332928,32.58859,-0.67213865
502,456162940697995264,34.743958,0.1232957
503,457151676546050048,36.112444,-0.71012928
504,457157998737909760,35.892609,0.079222066
506,457152227174279168,36.112444,-0.71012928
507,457158549366138880,35.892609,0.079222066
509,457152227694372864,36.112444,-0.71012928
510,457158549886232576,35.892609,0.079222066
512,457153332876699648,36.112444,-0.71012928
513,457159105312745472,35.892609,0.079222066
514,458305339171825664,37.578391,0.027302416
516,458353992561354752,37.582297,1.2408019
518,458413091311347712,39.111512,0.54292354
519,458417214479951872,38.755848,0.23485066
520,459372964979173376,40.960857,-0.34221268
521,459397978868705280,40.495725,-0.11720543
522,459476868827998208,38.755848,0.23485066
523,459493361502414848,39.958968,1.1985362
525,460647574672533504,42.695372,1.1530098
527,461766601708955648,44.006433,0.83828485
530,461766327854458880,44.006433,0.83828485
531,462827080690722816,44.798468,-0.91657578
532,462828729958164480,44.580979,-0.66385875
534,462916690888386560,46.876103,0.76349169
535,462824057973270528,44.798468,-0.91657578
536,462829555531409408,44.580979,-0.66385875
539,462888379403495424,45.883563,1.0544817
541,463946384433768448,46.891914,-0.31113495
543,463991739288414208,47.126402,0.22751454
544,463995587579111424,47.782694,0.74804115
545,464037094143059968,48.788038,1.0453009
546,463946385440401408,46.891914,-0.31113495
548,463989266393884672,47.126402,0.22751454
549,463994489074116608,47.782694,0.74804115
550,464037919783413760,48.788038,1.0453009
551,463993114768467968,47.782694,0.74804115
553,463988167066806272,47.126402,0.22751454
554,463993114869131264,47.782694,0.74804115
555,463945016151140352,46.891914,-0.31113495
557,463989271494158336,47.126402,0.22751454
558,463995043930204160,47.782694,0.74804115
559,463947490303961088,46.891914,-0.31113495
561,463991470769072128,47.126402,0.22751454
562,463995044181862400,47.782694,0.74804115
563,464036825623717888,48.788038,1.0453009
564,463946390859442176,46.891914,-0.31113495
566,463991470836180992,47.126402,0.22751454
567,463996143760599040,47.782694,0.74804115
568,464036275935012864,48.788038,1.0453009
570,463943092391667712,46.891914,-0.31113495
572,463989271880034304,47.126402,0.22751454
573,463995044316080128,47.782694,0.74804115
574,464037100635842560,48.788038,1.0453009
575,465020331577337856,50.060243,-1.225515
576,465148974437787648,50.312439,0.26765078
577,465014560953231360,50.760966,-0.33201945
578,465019508755556352,50.060243,-1.225515
579,465145952592750592,50.312439,0.26765078
582,466287794411563008,52.404782,1.2210573
585,466293567384479744,52.404782,1.2210573
586,467374112067577856,53.55506,1.1461296
591,469588252634933248,7.0953626,14.361733
592,469639105047717888,8.2417827,15.458354
593,469676213565155328,8.7348431,15.423406
594,470705906137458688,8.535871,13.810846
595,470725422468851712,8.7829881,16.157189
596,470737791974664192,8.8691998,16.094386
597,470753460015360000,9.1656965,15.407223
599,470730646273157120,8.7829881,16.157189
600,470752911383619584,9.1656965,15.407223
601,471756764291819520,12.309974,13.909242
602,471766110140655616,11.826372,13.978277
603,471791124030187520,11.286445,14.742179
604,471806792070883328,10.824362,14.640935
605,471874961791805440,11.026985,15.546494
606,471753466696460288,12.309974,13.909242
607,471768310103435264,11.826372,13.978277
608,471791124969711616,11.286445,14.742179
609,471805143742965760,10.824362,14.640935
610,471754566392637440,12.309974,13.909242
611,471767210776356864,11.826372,13.978277
612,471794148811237376,11.286445,14.742179
613,471795248322865152,11.264753,14.775823
614,471802944904259584,10.824362,14.640935
616,472951384665253888,12.672706,14.525683
617,473031649014081536,14.205406,15.370462
618,474030554489055232,15.45117,13.961505
621,474167718564620288,16.083122,15.351734
624,476294174052739072,19.007079,13.938359
625,476296922831808512,19.091096,14.278501
630,477412378586146816,21.335814,14.457006
631,477476974894278656,19.736227,14.780169
632,477506111952414720,21.056076,15.424118
633,477519580969854976,20.947027,14.688399
634,478527008347809792,23.680621,14.109936
635,478599850993149952,21.770574,15.128346
637,478600675861751808,21.770574,15.128346
639,479641363349006336,25.90053,13.659789
641,480763140389234688,31.691015,12.837095
643,480850276685735936,29.532074,14.594779
645,482057265289914368,33.811747,14.001366
648,483160074395609088,27.221665,14.355208
649,483180415360722944,27.657022,14.47872
650,484175199462254592,28.607764,13.200182
651,485273336700495872,115.15117,37.660668
652,485295052055144448,114.0845,37.301989
653,485336283741186048,112.67792,36.975765
657,486437719631751168,115.25818,39.852188
659,486562239323596800,117.05927,40.197258
660,487648556627290112,116.7395,38.674621
662,487666973447055360,117.56406,38.464894
664,487671646371473408,117.38692,39.195007
665,487671921249380352,117.47944,39.137858
669,489775836900124672,119.63115,40.303655
670,489775836900124672,119.63115,40.303655
671,489797827132680192,118.98023,40.224759
672,489842357353605120,117.05927,40.197258
674,489866546609416192,117.93217,41.257227
676,489903655126853632,118.87231,40.612654
678,491004541160941568,119.08287,45.960708
679,491015261399312384,119.38187,45.58484
680,492095806216628224,119.09581,41.980149
683,492099929502672896,119.09581,41.980149
686,493146389828626432,121.97274,46.362319
688,493302245601863680,122.12845,47.924196
692,494434192705218560,123.4428,45.301798
693,495442170124199936,122.95771,48.56416
695,495505392042797056,122.59742,49.531228
698,495440246431836160,122.95771,48.56416
701,496527937571416064,125.33471,46.173223
702,496566145600481280,124.17902,46.346627
705,497761589852661760,125.73866,51.472565
708,499974357020338176,126.93833,52.505406
710,499991674328475648,127.1926,53.452744
712,501032361916393472,131.16665,50.264259
713,501085688230340608,129.3081,49.400641
715,501149734782658560,129.75566,51.506373
716,502191522486183936,131.60105,53.780615
719,503369923704154112,130.62902,52.793534
724,505540085165352960,136.39782,53.675691
726,505604681473484800,133.12419,53.454535
727,505615951467669504,132.14773,53.675092
729,506699245433153536,136.37457,55.002653
730,506713539084314624,136.27144,54.275107
731,506715463229663232,136.26301,54.513343
733,506820741468022784,138.55433,56.001959
734,508910913122756608,145.15457,57.329219
736,509007120390187008,142.94354,58.824257
738,511174807514015744,37.638158,-9.2782195
739,511197897258199040,37.150421,-8.7845935
740,511276237461678080,36.232244,-8.024431
741,512391692024834048,38.039128,-7.6760766
746,515719639179749376,45.765609,-8.6680606
747,516813928043407360,48.421651,-8.2659635
748,519120978081507328,52.250747,-7.8820572
749,519196844383823872,53.64591,-5.7662154
750,519197943895451648,53.700767,-5.806605
751,520184480686696448,56.273543,-6.9838737
752,520327966954121216,55.985509,-5.9548194
756,526942354079246336,134.25162,0.80224279
757,526991832102496256,132.95679,0.082583318
758,527001452829239296,132.67566,-0.2984491
759,527002277462960128,132.48892,-0.30949726
760,527022618428073984,132.891,2.1005096
766,529261774143252480,135.27891,0.84422529
768,530454194419689472,137.97143,2.2300863
769,532554811468441600,140.66796,1.0299801
775,535969896228481024,144.33983,-0.22877561
779,535971550310983680,144.33983,-0.22877561
780,536077653183064064,144.8959,0.39371936
786,540580697602025472,147.30638,2.0682617
787,541620559365040128,147.99414,1.3490368
788,541680207870846976,148.2203,2.5701707
791,543880880293177344,133.42372,55.834352
793,543884728952973312,133.42372,55.834352
796,543886378522404864,133.42372,55.834352
798,546152746311510016,139.20146,60.772282
799,547219547485136896,146.42985,61.07572
804,548462545933985792,150.2704,63.223169
805,549472446877558784,153.4951,62.989751
806,550653597512132608,156.74722,66.124602
807,550683559203989504,157.29138,65.363097
809,551795990076614656,162.56017,66.647757
810,551796264954521600,162.30389,66.260739
812,553959279640471552,178.64197,66.529266
813,554096168838129664,177.18949,67.596303
817,557391130862315520,192.38321,66.342015
820,559689110181144576,204.68138,66.542434
824,561924142425729024,215.7201,65.044672
826,564213879534544896,151.06659,2.6000877
827,564232571232217088,151.2959,3.0310737
828,565279576515700736,151.74762,1.1358842
831,566399429813233664,154.45867,1.6093945
832,566418946144626688,153.69851,2.8077547
833,569815612826609664,160.58829,3.2210824
834,569825233553352704,160.43367,2.5534633
835,570961859251824640,162.43298,2.5347652
837,572099854004676608,165.86353,2.3710457
838,574261494116542464,168.43914,1.9094244
839,574286233128167424,167.89152,1.2136668
842,577642210917378048,173.6759,1.2664369
843,578764812373223424,175.90574,2.0750001
847,585625769863047168,188.65342,3.3840541
848,585629893031651328,189.14269,3.0450192
849,585635940345604096,189.03916,3.3800997
852,590022987361576960,195.91,2.0737739
853,593419384064600064,201.56065,1.4607492
855,595660458321537024,205.43051,1.0157669
857,599033484580775936,211.88658,2.0472677
858,599082687726118912,211.20906,3.0768357
860,602509590692653056,218.02454,2.0917285
863,605836713381619712,223.16947,2.5469012
864,609112432224266240,114.82611,31.850649
865,609114081491707904,114.58291,31.690191
867,610323544852686848,114.9972,34.626277
871,611478032464504832,117.69214,37.52692
873,612545386464176128,119.51912,37.62187
875,614839242664732672,121.32857,42.34823
876,614896692147283968,124.04086,43.492978
878,615946450907457536,123.45915,43.062176
881,617094887094904832,125.35902,45.289049
883,618186702057400320,127.7164,45.259388
885,619357406693976064,129.48374,48.822766
886,620372806252652544,135.82394,50.120337
888,620401393554974720,134.08844,49.572183
890,620511069839845376,134.67095,51.835153
893,622691676376295424,136.25421,52.446623
896,623870902613862400,139.62329,54.247458
897,624901974105548800,142.87062,53.807051
899,626113906183530496,144.28449,56.118292
901,626165858107942912,146.9851,56.025395
903,627218919765075968,146.27604,57.705974
904,627285440218556416,148.49602,57.632835
907,628297541745666048,149.46992,56.987322
908,628303589059618816,148.56717,57.281191
909,628332451239847936,148.38706,56.46344
910,628365161710774272,148.79209,58.433803
911,628373682925889536,149.41466,58.584199
912,628375607071238144,149.60551,58.515733
913,628383303652632576,148.49602,57.632835
915,629501781839210496,155.6212,60.459015
916,629530369141532672,156.42204,59.187521
917,630576554119817216,156.42204,59.187521
918,631765675928479744,161.65554,60.720013
922,636193957834942464,133.72664,2.4942932
923,638549387072530432,140.04445,3.5437201
924,640805310256146432,144.5936,4.4577284
926,642971898287777792,146.58884,3.5569169
928,645271252633675776,151.44342,4.047357
929,646285277601490944,154.66223,3.8448919
932,646388356816594944,153.92261,5.264331
933,646436735328217088,154.71015,5.047464
934,646283628468267008,154.66223,3.8448919
937,646392754997323776,153.92261,5.264331
938,646434536439179264,154.71015,5.047464
939,646284727996672000,154.66223,3.8448919
941,646285277920258048,154.66223,3.8448919
943,646391380792338432,153.92261,5.264331
944,646434811501635584,154.71015,5.047464
946,647562634765297664,156.59807,4.883038
947,648541475092588544,157.68516,3.481644
948,649645935227332608,160.47273,3.7965165
950,653088231272769536,164.23388,3.655353
951,654302091858176000,167.29702,5.8066578
952,654302091908507648,167.29702,5.8066578
953,656442835997845504,213.89897,4.5474155
957,661004709254948864,220.69878,5.0463397
959,663317532450514944,226.63562,4.1479168
963,667830752318089216,234.75803,3.8444304
966,671207083420444672,170.43542,64.616459
967,673307699479341056,180.65925,64.521034
969,673409954060724224,178.83673,65.719377
971,677844555239811072,196.1017,64.373893
972,678942967087523840,202.48591,62.940411
976,681263491360778240,208.66317,64.01116
978,682352557829416960,213.08926,61.289688
979,682448215341033472,214.58888,62.847295
980,683562570426116096,218.33197,62.276554
982,684608476046977024,220.49892,59.398849
984,686872644947044352,223.42246,58.057086
985,689064246884984832,228.96742,56.35234
986,694817166481975296,235.89375,56.526162
987,694846303540111360,237.63262,57.345348
990,698181122458150912,240.1855,52.213443
991,698198994454603776,240.1855,52.213443
992,699188549550893056,243.47587,53.141104
993,700316098708400128,243.79949,47.858853
999,704931023938414592,247.02968,45.307683
1000,704952739293063168,247.62943,45.545565
1003,705982708270000128,248.8534,46.611929
1007,707228728798767104,251.13936,42.840943
1008,708285084058281984,249.23596,44.698453
1010,709410434192533504,250.64288,40.965174
1011,709486850250663936,252.88478,41.162596
1016,710618797957998592,254.27598,42.091285
1017,711682025567840256,253.56022,39.435091
1018,712726011992631296,255.94382,38.798054
1023,713923106451777536,309.49223,-4.8792853
1027,713923106703435776,309.49223,-4.8792853
1030,715113327721736192,312.98278,-5.5166668
1032,716204318654490624,313.85877,-5.7784136
1034,717217243708024832,316.12852,-7.7273493
1039,718494599781312512,318.41257,-6.0517093
1040,718497073682475008,318.72427,-6.2543902
1041,719494606697293824,319.61102,-7.1693616
1043,719575970557749248,319.43563,-6.1936461
1048,720650743710771200,320.95196,-7.5714776
1051,720650744079869952,320.95196,-7.5714776
1052,721756852374759424,323.05003,-7.6968544
1053,721770596270106624,322.94963,-8.509041
1056,721734037894359040,323.77264,-7.7990818
1057,721756852760635392,323.05003,-7.6968544
1058,721770871533889536,322.94963,-8.509041
1061,725102116049283072,328.33244,-9.176175
1062,725118333845792768,328.08379,-7.9434506
1063,725123282050770944,328.08379,-7.9434506
1065,726315153158596608,349.37694,-9.7322365
1066,727347599945787392,352.50614,-10.448897
1067,728503187169896448,354.23791,-9.7427042
1068,728535347885008896,353.22691,-10.523865
1069,728538921297799168,353.37822,-10.781064
1072,731990556296636416,0.50720092,-9.1719994
1074,733062854978070528,1.5386295,-9.1620478
1075,733120304460621824,2.8060918,-9.0105608
1076,735342142649559040,5.8398626,-9.4708853
1077,736415540892952576,7.4777314,-10.402614
1078,737547213504276480,8.9284343,-9.9887229
1079,738752552891344896,12.211009,-9.4217546
1085,745361717269129216,23.777868,-10.527218
1087,745359243888060416,23.777868,-10.527218
1090,745476616754325504,23.244909,-9.5415237
1092,748867510446614528,28.744886,-8.4124632
1093,749867790831216640,30.998054,-9.0007897
1096,752200130089740288,33.372941,-8.4855073
1099,753253468889704448,2.1616396,-0.55148378
1100,754414002758510592,15.953597,-0.21238281
1102,754447812741064704,15.099855,0.40578631
1105,754522579531753472,17.338159,0.90707843
1106,755505537658939392,36.112444,-0.71012928
1108,755603669071718400,35.794566,0.80226044
1109,756609721640708096,50.473992,-1.1522828
1110,756694933791860736,48.825733,0.78762477
1112,758994287969986560,339.24394,0.57784246
1114,760070991257823232,340.49956,1.0266192
1115,760136412199675904,341.76341,0.14017904
1116,761202106932684800,341.93416,0.55290417
1118,763415985439926272,346.44126,-1.2096452
1120,764578432246900736,348.07681,1.2501273
1121,764600697357363200,348.74063,0.97064501
1122,764628460025964544,349.1261,0.043821282
1123,764651549770147840,349.89474,0.96944378
1124,765659252562880512,350.81839,-0.48847087
1126,765781848109377536,351.61627,0.8559583
1129,766844251202938880,351.60921,0.22663263
1130,767958061951248384,353.13326,0.45825021
1132,770123000312784896,359.40661,-0.053052126
1133,771301396531144704,359.40661,-0.053052126
1134,771316514816026624,359.50093,-1.1697124
1135,771333832124164096,359.13903,0.60466581
1136,771398978188109824,1.0250434,0.054243529
1137,771405850135783424,0.75029523,0.97326926
1138,772386619809359872,2.6713398,-0.28506485
1139,772517461693065216,2.5517469,0.58089769
1140,773536434077329408,4.3173616,0.0030118162
1141,773659304501733376,5.1231727,0.93421569
1143,774651058705164288,6.1985733,0.0053226833
1145,774721427449341952,5.4367846,1.1649098
1148,776986422375639040,9.2959474,0.84334414
1150,778172244626008064,12.856396,0.24088605
1152,779200837787346944,12.369169,-0.96176161
1153,779244818252457984,13.56592,0.98330553
1154,780352577106634752,14.700784,1.0170774
1158,782653579193247744,19.109217,0.18221909
1161,784786907031693312,22.84186,-0.82043798
1162,784862773334009856,22.563607,1.2454756
1163,784913075990980608,23.691047,0.46285493
1164,785923526791030784,24.667536,-0.30114136
1165,787128041762482176,26.612273,0.88848762
1166,788148938258540544,29.537003,-0.48321522
1167,788304794031777792,29.516805,0.5757304
1169,789366097294944256,29.989314,1.1947573
1170,789368571196106752,30.070446,1.1230631
1171,789390286550755328,30.472844,0.049436082
1172,790386444068743168,32.812977,-0.86194743
1174,790491447429195776,31.407009,0.030830398
1175,790493096696637440,31.98344,1.2500738
1177,791640162722408448,34.077952,0.44672612
1179,792744072329586688,35.832516,1.0676058
1180,793929345780443136,38.455085,0.83298144
1181,794970308397262848,38.610743,-0.46940864
1183,794985151804237824,39.325883,0.94454236
1186,796092359644309504,40.497231,-0.76060115
1187,797235027069921280,42.321978,0.17519425
1193,798362851625428992,44.917141,0.92443747
1199,799536580254525440,47.763517,0.63832057
1200,799547575370803200,47.782545,0.74859961
1201,800525865824839680,50.36826,-0.45945056
1207,801695745810917376,51.164237,0.065546769
1208,801741100665563136,50.69704,1.2307402
1209,801747147979515904,50.143415,0.34378045
1210,801774910648117248,51.284251,0.54994174
1212,801694921512740864,51.164237,0.065546769
1213,801741101001107456,50.69704,1.2307402
1214,801747423192967168,50.143415,0.34378045
1215,801773261716219904,51.284251,0.54994174
1216,802859029096327168,52.294405,0.9438269
1217,802931871741667328,54.016011,1.1747132
1218,802934895398643712,54.286618,0.87223718
1220,804031108877412352,55.454112,0.60971702
1221,807373903583275008,330.59563,-7.0729376
1222,807407713565829120,330.62522,-7.543907
1227,810807124245374976,336.41835,-8.0378041
1234,815204621537536000,343.88058,-9.621619
1235,815237881764276224,342.78954,-9.5643623
