,SPECOBJID,RA,DEC
2490,b'   1277964889599535104',8.3272301,-1.2326224
2491,b'   1277965164477442048',8.4292721,-1.1617079
2492,b'   1277970662035580928',7.9496947,-0.53053064
2493,b'   1277972861058836480',7.8903465,-0.34552077
2494,b'   1277974510326278144',7.7457787,-0.89548778
2495,b'   1277983306419300352',7.4423939,-0.11674735
2496,b'   1277987154709997568',8.0205016,0.6052366
2497,b'   1277990453244880896',7.7028871,0.11352084
2498,b'   1277991827634415616',7.4953971,-0.012860935
2499,b'   1277992377390229504',7.8172273,0.52928941
2500,b'   1277992652268136448',7.817769,0.2911405
2501,b'   1277993476901857280',7.6569289,0.47389555
2502,b'   1277994301535578112',7.865468,-0.055957573
2503,b'   1277997600070461440',8.2631014,1.0524105
2504,b'   1277999799093716992',8.076136,1.144678
2505,b'   1278029211029760000',8.918949,0.1144837
2506,b'   1278030310541387776',8.8982126,0.085208039
2507,b'   1278031959808829440',9.0402373,0.33103241
2508,b'   1278035258343712768',9.1367983,0.40613199
2509,b'   1278041030779758592',8.9664021,0.71485365
2510,b'   1278045153948362752',9.399792,0.41804879
2511,b'   1278046253459990528',9.5958788,0.15576233
2512,b'   1278047627849525248',9.3382587,0.46308793
2513,b'   1278053675163478016',9.2186608,0.86496536
2514,b'   1278054774675105792',9.3382757,1.0629201
2515,b'   1278055049553012736',9.3759833,0.66220685
2516,b'   1278055599308826624',9.4015799,0.83908521
2517,b'   1278058073209989120',9.6336529,0.45608606
2518,b'   1278060547111151616',9.626212,0.30181819
2519,b'   1278060821989058560',9.6325343,0.036178688
2520,b'   1278063845646034944',9.9002024,1.0916621
2521,b'   1280153466605430784',336.5829,-0.73588913
2522,b'   1280163087332173824',336.27739,-0.96733156
2523,b'   1280179305128683520',336.04022,-0.15184965
2524,b'   1280201020483332096',335.31413,-0.59638829
2525,b'   1280201570239145984',335.2251,-0.53671757
2526,b'   1280213115111237632',335.00389,-0.66608595
2527,b'   1280218062913562624',335.07987,-0.71717139
2528,b'   1280222735837980672',334.78766,-0.16680476
2529,b'   1280233456076351488',334.48395,-0.32613135
2530,b'   1280234555587979264',334.54943,-0.61897205
2531,b'   1280235105343793152',334.50153,-0.54394613
2532,b'   1280237304367048704',334.7288,0.90809574
2533,b'   1280237854122862592',334.66045,0.85640371
2534,b'   1280244176314722304',334.44873,0.43306981
2535,b'   1280250498506582016',334.90424,1.1087325
2536,b'   1280250773384488960',334.82871,1.0619928
2537,b'   1280251598018209792',334.86501,0.75184266
2538,b'   1280253247285651456',334.70137,0.37911166
2539,b'   1280255171431000064',334.52644,0.54316653
2540,b'   1280257920210069504',334.62906,0.055241393
2541,b'   1280258469965883392',335.36936,0.77621427
2542,b'   1280263142890301440',335.09002,0.93611395
2543,b'   1280263967524022272',335.00661,0.38907333
2544,b'   1280275787274020864',335.10631,0.29508189
2545,b'   1280281559710066688',335.44608,0.51768951
2546,b'   1280282384343787520',335.46609,0.30905809
2547,b'   1280288431657740288',335.63994,0.45407465
2548,b'   1280296952872855552',336.3228,0.58720887
2549,b'   1280298052384483328',336.09786,0.57278975
2550,b'   1280309047500761088',336.66847,0.51373109
2551,b'   1280311521401923584',336.62747,0.25702195
2552,b'   1280314270180993024',336.54728,0.72654602
2553,b'   1280315369692620800',336.61924,1.0030479
2554,b'   1280318118471690240',336.35347,0.83900825
2555,b'   1280319492861224960',336.89472,0.51946357
2556,b'   1281274423021692928',336.85896,-0.79770218
2557,b'   1281274697899599872',336.56954,-0.91190733
2558,b'   1281274972777506816',336.51778,-1.118037
2559,b'   1281275522533320704',336.71501,-0.86289991
2560,b'   1281276622044948480',336.75126,-0.97375628
2561,b'   1281276896922855424',336.67695,-0.95591819
2562,b'   1281282669358901248',336.97616,-0.076864665
2563,b'   1281284043748435968',336.80904,-0.26461938
2564,b'   1281286242771691520',336.31547,-1.0970156
2565,b'   1281287067405412352',336.30339,-0.67270794
2566,b'   1281299162033317888',335.89809,-0.92778014
2567,b'   1281299986667038720',335.77872,-0.97110831
2568,b'   1281301086178666496',335.88051,-0.91254228
2569,b'   1281325550312384512',335.31413,-0.59638829
2570,b'   1281333521771685888',335.29912,-0.6798791
2571,b'   1281356886393776128',334.37127,-0.52118679
2572,b'   1281368706143774720',334.38375,0.42025169
2573,b'   1281377227358889984',335.15547,0.80035115
2574,b'   1281389321986795520',335.38356,1.1557651
2575,b'   1281398118079817728',335.68805,1.0824217
2576,b'   1281405814661212160',335.19183,0.2360218
2577,b'   1281407738806560768',335.48937,0.44168968
2578,b'   1281408013684467712',335.64901,0.27314616
2579,b'   1281408288562374656',335.63348,0.44708372
2580,b'   1281415710265862144',336.06348,0.10270804
2581,b'   1281426980260046848',336.07679,0.24931148
2582,b'   1281430003917023232',336.17558,1.1699884
2583,b'   1281435226597255168',336.40996,0.49980066
2584,b'   1281437150742603776',336.42334,0.15256237
2585,b'   1281442923178649600',336.46273,0.83400336
2586,b'   1281443198056556544',336.68784,0.7558241
2587,b'   1281447321225160704',336.93907,0.54530415
2588,b'   1281449520248416256',336.81464,0.5821024
2589,b'   1286911883344898048',336.71168,-0.3533155
2590,b'   1286917930658850816',336.30345,-0.67270256
2591,b'   1286920679437920256',336.6528,-0.53379307
2592,b'   1286921778949548032',336.50319,-0.44364481
2593,b'   1286925352362338304',336.58694,-0.31108779
2594,b'   1286928650897221632',335.99545,-0.89094796
2595,b'   1286930300164663296',336.07083,-0.89281634
2596,b'   1286931674554198016',336.19179,-0.40843621
2597,b'   1286934148455360512',336.096,0.009979749
2598,b'   1286941570158848000',335.66893,-0.96018676
2599,b'   1286942394792568832',335.70859,-0.34317551
2600,b'   1286950916007684096',335.50286,-0.20961268
2601,b'   1286953664786753536',335.17249,-0.10484381
2602,b'   1286956688443729920',335.12673,-0.29877027
2603,b'   1286959712100706304',335.52532,-0.77996999
2604,b'   1286963010635589632',335.31413,-0.59638829
2605,b'   1286963560391403520',335.20938,-0.88271836
2606,b'   1286963835269310464',335.47998,-1.1616748
2607,b'   1286967133804193792',334.89104,-0.23858699
2608,b'   1286972081606518784',334.92249,-0.70602416
2609,b'   1286975105263495168',334.97025,-1.2150749
2610,b'   1286979503310006272',334.62148,-0.15581074
2611,b'   1286981152577447936',334.41087,-0.88118779
2612,b'   1286991597937911808',334.33209,-0.58305564
2613,b'   1286994621594888192',334.58009,0.77568937
2614,b'   1287001768420468736',334.37004,0.25804944
2615,b'   1287009190123956224',334.66668,0.52342198
2616,b'   1287013863048374272',335.34703,1.1954842
2617,b'   1287017161583257600',335.22143,0.97516222
2618,b'   1287019910362327040',335.17747,0.2664739
2619,b'   1287020734996047872',335.04512,0.28555897
2620,b'   1287021559629768704',335.10631,0.29508189
2621,b'   1287025957676279808',335.5617,0.86859382
2622,b'   1287033379379767296',335.42576,0.20501012
2623,b'   1287034753769302016',335.38471,0.17171283
2624,b'   1287041075961161728',335.5638,0.12641272
2625,b'   1287050696687904768',336.07001,0.76628806
2626,b'   1287052620833253376',336.26241,0.29474872
2627,b'   1287053445466974208',336.18788,0.6043863
2628,b'   1287055369612322816',336.22713,0.23393849
2629,b'   1287055919368136704',336.17109,0.189788
2630,b'   1287064440583251968',336.4121,0.37361689
2631,b'   1287075160821622784',336.89797,0.56834462
2632,b'   1286911334042068992',336.71168,-0.3533155
2633,b'   1286916281844393984',336.29533,-1.1607057
2634,b'   1286919855257184256',336.30345,-0.67270256
2635,b'   1286921504524625920',336.6528,-0.53379307
2636,b'   1286922604036253696',336.50319,-0.44364481
2637,b'   1286923978425788416',336.58694,-0.31108779
2638,b'   1286926452326950912',335.99545,-0.89094796
2639,b'   1286927002082764800',336.07083,-0.89281634
2640,b'   1286934148908345344',336.096,0.009979749
2641,b'   1286957513530435584',335.12673,-0.29877027
2642,b'   1286960537187411968',335.47998,-1.1616748
2643,b'   1286961086943225856',335.20938,-0.88271836
2644,b'   1286961911576946688',335.52532,-0.77996999
2645,b'   1286963011088574464',335.31413,-0.59638829
2646,b'   1286967134257178624',334.89104,-0.23858699
2647,b'   1286973731326945280',334.92249,-0.70602416
2648,b'   1286978679129270272',334.62148,-0.15581074
2649,b'   1286982527419967488',334.41087,-0.88118779
2650,b'   1286988574733920256',334.33209,-0.58305564
2651,b'   1286994896925779968',334.58009,0.77568937
2652,b'   1287008915699034112',334.66668,0.52342198
2653,b'   1287013863501359104',335.22972,1.2455204
2654,b'   1287014688135079936',335.22143,0.97516222
2655,b'   1287016062524614656',335.34703,1.1954842
2656,b'   1287024583739729920',335.04512,0.28555897
2657,b'   1287028432030427136',335.5617,0.86859382
2658,b'   1287032830076938240',335.42576,0.20501012
2659,b'   1287034479344379904',335.38471,0.17171283
2660,b'   1287039152268797952',335.5638,0.12641272
2661,b'   1287049872507168768',336.07001,0.76628806
2662,b'   1287050697140889600',336.10084,0.73422212
2663,b'   1287052621286238208',336.17109,0.189788
2664,b'   1287057019332749312',336.26241,0.29474872
2665,b'   1287060867623446528',336.18788,0.6043863
2666,b'   1287068014449027072',336.4121,0.37361689
2667,b'   1287074611518793728',336.89797,0.56834462
2668,b'   1287078184931584000',336.765,0.41096227
2669,b'   1288031197020055552',336.70804,-0.97367074
2670,b'   1288031746775869440',336.38702,-1.214128
2671,b'   1288033396043311104',336.50704,-0.85324856
2672,b'   1288037794089822208',336.83265,-0.6230474
2673,b'   1288041642380519424',336.1328,-1.1667433
2674,b'   1288045765549123584',336.30339,-0.67270794
2675,b'   1288054286764238848',335.89596,-1.1954188
2676,b'   1288058409932843008',335.98718,-0.41447156
2677,b'   1288066106514237440',335.49157,-0.99382904
2678,b'   1288067480903772160',335.52532,-0.77996999
2679,b'   1288073803095631872',335.37096,-0.27277582
2680,b'   1288079850409584640',335.30622,-0.62382732
2681,b'   1288080125287491584',335.31413,-0.59638829
2682,b'   1288084523334002688',335.35414,-0.29297444
2683,b'   1288092494793304064',334.96111,-0.65264768
2684,b'   1288093869182838784',334.87258,-0.22705569
2685,b'   1288103215031674880',334.6601,-0.60536426
2686,b'   1288179631089805312',336.18245,0.30222504
2687,b'   1288187052793292800',336.0922,0.69348652
2688,b'   1288196123764221952',336.58206,0.90719415
2689,b'   1293674711384877056',124.20103,-0.687963
2690,b'   1293709895756965888',122.93425,-0.602088
2691,b'   1293710170634872832',122.96986,-0.638215
2692,b'   1293738757937195008',122.5959,-0.939537
2693,b'   1293750027931379712',122.29629,0.665301
2694,b'   1293762397437192192',122.75862,0.73259
2695,b'   1293767620117424128',122.37042,0.232829
2696,b'   1293771193530214400',123.06761,0.805765
2697,b'   1293773117675563008',123.04673,0.746035
2698,b'   1293786586693003264',122.97141,0.368983
2699,b'   1293787686204631040',123.14528,0.275881
2700,b'   1294799505757071360',118.78535,33.681889
2701,b'   1294803628925675520',118.96076,34.682443
2702,b'   1294822595501254656',118.04108,34.074362
2703,b'   1294823420134975488',118.30084,34.401092
2704,b'   1294846784757065728',117.29688,34.754645
2705,b'   1294850358169856000',117.28092,35.060906
2706,b'   1294858054751250432',116.97105,34.461117
2707,b'   1294862452797761536',116.82135,34.108699
2708,b'   1294882793762875392',116.76268,35.589818
2709,b'   1294895163268687872',117.63592,36.332842
2710,b'   1294904783995430912',117.43675,35.355316
2711,b'   1294918253012871168',117.91337,35.228072
2712,b'   1294931996908218368',118.32699,36.015679
2713,b'   1297053509576845312',326.20541,-0.407739
2714,b'   1297055983478007808',325.59744,-0.316346
2715,b'   1297071376640796672',325.38764,-0.740279
2716,b'   1297074950053586944',325.48921,-0.855128
2717,b'   1297084021024516096',324.96061,-0.076382
2718,b'   1297108210280327168',324.88481,-0.963295
2719,b'   1297112058571024384',324.40437,-0.07717
2720,b'   1297142295140788224',324.42465,0.412692
2721,b'   1297157138547763200',324.74888,0.304809
2722,b'   1297164835129157632',324.90806,0.517533
2723,b'   1297166759274506240',324.88461,0.511864
2724,b'   1297183526826829824',325.48038,0.580778
2725,b'   1297193972187293696',326.34524,0.858048
2726,b'   1297197545600083968',326.40352,0.48856
2727,b'   1297202768280315904',326.73338,0.577697
2728,b'   1297205517059385344',326.38694,0.875171
2729,b'   1297206066815199232',326.57985,0.581351
2730,b'   1298171987645982720',329.81982,-0.213513
2731,b'   1298175011302959104',329.2409,-0.974595
2732,b'   1298191778855282688',329.17866,-0.457518
2733,b'   1298198375925049344',328.59061,-1.249719
2734,b'   1298208546407606272',328.20089,-0.318331
2735,b'   1298216517866907648',328.17434,-0.449425
2736,b'   1298217342500628480',328.12554,0.093616
2737,b'   1298231086395975680',327.95172,-0.713567
2738,b'   1298245929802950656',327.28703,-0.399567
2739,b'   1298253901262252032',327.29837,0.754922
2740,b'   1298262697355274240',327.87537,1.108496
2741,b'   1298270393936668672',327.37807,0.193912
2742,b'   1298271218570389504',327.38739,0.178084
2743,b'   1298284962465736704',328.49939,1.098831
2744,b'   1298286061977364480',328.50169,1.16394
2745,b'   1298289910268061696',327.91215,0.539854
2746,b'   1298301455140153344',328.60399,0.632821
2747,b'   1298307777332013056',328.68281,0.898024
2748,b'   1298308876843640832',328.63928,0.7374
2749,b'   1298314099523872768',328.92364,0.370183
2750,b'   1298322070983174144',329.00743,0.703209
2751,b'   1299302837871732736',127.07974,-1.036754
2752,b'   1299332249807775744',126.68712,-0.212568
2753,b'   1299345993703122944',125.97843,-1.198163
2754,b'   1299353415406610432',125.80056,-0.350331
2755,b'   1299360012476377088',125.81949,-0.771693
2756,b'   1299360837110097920',125.53993,-0.267124
2757,b'   1299363585889167360',125.50342,-0.426633
2758,b'   1299370732714747904',125.59327,-1.061517
2759,b'   1299379803685677056',125.51208,1.002169
2760,b'   1299413338790324224',126.47568,0.711786
2761,b'   1299429556586833920',126.65628,0.072392
2762,b'   1299431205854275584',126.49335,0.082046
2763,b'   1299445774383343616',126.83255,0.663086
2764,b'   1300416634359408640',35.84607,-1.028152
2765,b'   1300422681673361408',36.238919,-0.56384
2766,b'   1300503495778002944',33.723366,0.731579
2767,b'   1300505419923351552',33.770433,0.748219
2768,b'   1300508993336141824',33.593764,-0.010788
2769,b'   1300510917481490432',33.578542,0.345543
2770,b'   1300537855516370944',34.93972,1.223269
2771,b'   1300587883295434752',36.378343,0.190202
2772,b'   1300414985461065728',35.84607,-1.028152
2773,b'   1300420757897111552',36.238919,-0.56384
2774,b'   1300487828106405888',33.83232,-0.516511
2775,b'   1300504595658729472',33.770433,0.748219
2776,b'   1300505420292450304',33.723366,0.731579
2777,b'   1300508993705240576',33.593764,-0.010788
2778,b'   1300538130763376640',34.93972,1.223269
2779,b'   1300587608786626560',36.378343,0.190202
2780,b'   1301601084636162048',52.60734,-0.63923297
2781,b'   1301663207043131392',53.55506,1.1461296
2782,b'   1302836385983522816',56.485754,0.84351538
2783,b'   1303878173670270976',205.87838,57.850448
2784,b'   1304947448745060352',211.382,56.622289
2785,b'   1309527189552654336',221.22221,54.340732
2786,b'   1311758648971651072',225.79389,51.502627
2787,b'   1311775141646067712',227.07522,52.544476
2788,b'   1312838919951247360',232.37583,49.633819
2789,b'   1312878777247754240',230.55569,49.229414
2790,b'   1312911487718680576',230.65915,51.401617
2791,b'   1312937601119840256',231.93432,50.268319
2792,b'   1314089889087645696',235.54106,48.766021
2793,b'   1316241083839047680',239.3388,45.076377
2794,b'   1317471712278767616',243.53076,43.151969
2795,b'   1319719114096273408',247.61557,39.684695
2796,b'   1321827153150502912',251.38243,35.778725
2797,b'   1321837048755152896',251.21637,35.603294
2798,b'   1321978885755136000',251.42495,35.936776
2799,b'   1326328829353945088',327.0229,-8.0798412
2800,b'   1327533341188057088',46.876936,0.76349169
2801,b'   1328660896368584704',48.320717,0.16921644
2802,b'   1328675190019745792',49.552921,0.96421263
2803,b'   1328687559525558272',49.858827,1.1145986
2804,b'   1328720269996484608',50.417976,0.84856656
2805,b'   1329770309691140096',50.682543,-0.78538657
2806,b'   1329809617231833088',51.686094,0.65989728
2807,b'   1329836005510899712',51.967785,0.78960579
2808,b'   1333079003027761152',124.20934,3.1641235
2809,b'   1333085050341713920',125.00648,3.3461339
2810,b'   1333106215940548608',124.37776,3.625224
2811,b'   1333115836667291648',123.96581,3.6301813
2812,b'   1333127106661476352',123.38532,3.646942
2813,b'   1333181532487051264',123.54768,4.1215406
2814,b'   1334206552218822656',126.80805,3.4232101
2815,b'   1334223594649053184',126.70373,3.9549199
2816,b'   1334229916840912896',125.97801,3.324
2817,b'   1334259878532769792',125.56316,3.4675218
2818,b'   1334267025358350336',125.30681,3.8970701
2819,b'   1335418214099740672',127.88098,6.0596984
2820,b'   1336497110924683264',129.5355,5.5780271
2821,b'   1336528996761888768',128.73227,5.583415
2822,b'   1336616682814203904',131.18178,5.938394
2823,b'   1337581778172405760',131.57979,3.9860889
2824,b'   1337635929120073728',130.13326,3.7926086
2825,b'   1338786843218438144',132.20567,6.8550959
2826,b'   1338829174416107520',132.86823,6.5036181
2827,b'   1338831648317270016',132.93662,6.4252883
2828,b'   1338836321241688064',133.08556,6.4624571
2829,b'   1338850889770756096',133.90742,6.8117364
2830,b'   1338863809032382464',134.10771,6.7123257
2831,b'   1339922638763485184',133.129,5.6920193
2832,b'   1341054036295575552',134.83646,7.0827155
2833,b'   1342103519724857344',136.61604,4.816344
2834,b'   1342127159224854528',135.84784,4.9744046
2835,b'   1343232168461101056',138.12423,4.2899729
2836,b'   1343347892059924480',138.8697,6.028544
2837,b'   1344399300909623296',137.65743,6.8287067
2838,b'   1344405623101483008',137.49164,6.258391
2839,b'   1345543068232738816',140.4434,7.8998521
2840,b'   1346645603668486144',142.66032,6.3724741
2841,b'   1346715697534756864',143.61433,7.9317157
2842,b'   1347703607641794560',128.23722,34.633396
2843,b'   1347739891525511168',127.28164,34.594959
2844,b'   1347805312467363840',127.79078,35.862289
2845,b'   1347827577577826304',128.14794,36.351373
2846,b'   1347830876112709632',127.83442,35.796377
2847,b'   1347836648548755456',128.30816,35.644678
2848,b'   1347852591467358208',128.81289,35.669592
2849,b'   1348901525577033728',133.0882,38.957743
2850,b'   1348906198501451776',132.75321,38.717704
2851,b'   1349959531211286528',135.43145,39.272971
2852,b'   1349960080967100416',136.27843,39.788646
2853,b'   1349977398275237888',134.78205,38.631989
2854,b'   1349985094856632320',135.4925,39.489778
2855,b'   1350070032129878016',134.17526,40.033405
2856,b'   1350079377978714112',135.31945,40.509805
2857,b'   1350089548461271040',134.92121,40.294063
2858,b'   1350128581124057088',136.83506,40.124532
2859,b'   1351141505623943168',136.42978,41.151371
2860,b'   1351187685112309760',135.82455,41.388432
2861,b'   1351243760205326336',138.13087,41.546643
2862,b'   1352279500259354624',138.55428,41.980596
2863,b'   1352315784143071232',137.86487,42.41342
2864,b'   1353380661121017856',145.44133,44.773204
2865,b'   1353450205231474688',144.46897,45.014329
2866,b'   1353478792533796864',146.10183,45.739269
2867,b'   1354467528314742784',117.26587,21.891942
2868,b'   1354470826849626112',116.18206,20.985591
2869,b'   1354549441931012096',115.82953,22.447718
2870,b'   1354572256797288448',116.92903,23.073139
2871,b'   1355625588936697856',118.4933,23.616871
2872,b'   1355701730116921344',118.55972,24.087004
2873,b'   1355742686925056000',119.74707,24.772246
2874,b'   1356782000307988480',120.09606,25.400247
2875,b'   1356788322499848192',119.85952,24.979897
2876,b'   1356814161023100928',120.52954,26.01339
2877,b'   1356861714901002240',122.10419,25.861178
2878,b'   1357879862668322816',123.1951,27.296391
2879,b'   1357954904336918528',123.33328,27.652794
2880,b'   1358002458214819840',124.7184,28.410753
2881,b'   1359053041608714240',125.62424,30.0506
2882,b'   1360102800335333376',128.22153,29.931551
2883,b'   1361309239502465024',129.29515,32.696434
2884,b'   1361347722409437184',130.3705,32.756116
2885,b'   1361371911665248256',131.0637,32.807061
2886,b'   1362388960373925888',132.47497,33.430574
2887,b'   1362419196943689728',131.14957,33.048938
2888,b'   1362421945722759168',131.58837,33.247842
2889,b'   1362434590106478592',131.19507,34.105876
2890,b'   1363529433222244352',134.14058,34.620733
2891,b'   1363537679559452672',134.01268,34.835616
2892,b'   1363622341954791424',135.38556,35.558258
2893,b'   1364629490226980864',137.50437,35.88717
2894,b'   1365834559484094464',138.54643,37.768656
2895,b'   1365845004844558336',138.77049,37.642519
2896,b'   1365849128013162496',139.29873,37.830666
2897,b'   1366904380254611456',141.74308,37.724742
2898,b'   1366995364841809920',142.52123,39.553795
2899,b'   1367002786545297408',142.98312,39.816462
2900,b'   1367978053258471424',145.53522,39.117701
2901,b'   1368024507624744960',144.09597,39.335049
2902,b'   1368050346147997696',142.64081,39.532022
2903,b'   1368064364921251840',143.56489,40.486851
2904,b'   1371391486838466560',153.4125,42.446084
2905,b'   1373599581299828736',166.40977,8.6092314
2906,b'   1373622671044012032',165.62094,8.4539578
2907,b'   1375877770063669248',170.15414,9.3521394
2908,b'   1375922300284594176',168.47024,9.0501316
2909,b'   1383901730374182912',183.38894,10.285586
2910,b'   1384859129268430848',185.51074,9.0001933
2911,b'   1384903384611448832',184.36098,9.3058365
2912,b'   1384911081192843264',184.10035,9.6833509
2913,b'   1385030378204456960',185.92605,10.085236
2914,b'   1387113129095227392',188.47158,8.8091712
2915,b'   1389521884076337152',146.83726,8.7245287
2916,b'   1389526557000755200',146.97345,8.1616137
2917,b'   1390629917087000576',149.07938,8.2098891
2918,b'   1392907555893700608',154.46893,9.2499388
2919,b'   1393918281940756480',155.37445,8.3445226
2920,b'   1396157436917737472',159.87153,8.8010994
2921,b'   1396219009568892928',158.91931,9.751064
2922,b'   1398377903451826176',58.586949,-0.62569673
2923,b'   1399511775304509440',58.586949,-0.62569673
2924,b'   1399512874816137216',58.633229,-0.78425144
2925,b'   1399523045298694144',58.210854,-0.35358226
2926,b'   1400741025009395712',82.202331,0.55708483
2927,b'   1407384828315199488',66.703399,26.547837
2928,b'   1407392250018686976',66.019222,26.840242
2929,b'   1407402695379150848',65.759991,26.964115
2930,b'   1407416164396591104',65.574811,27.009744
2931,b'   1407426060001241088',65.207512,26.965724
2932,b'   1407472514367514624',64.167401,27.624089
2933,b'   1407485708507047936',64.98009,28.087507
2934,b'   1407500277036115968',65.120668,27.90077
2935,b'   1407507148983789568',65.151757,27.714936
2936,b'   1408516226350606336',65.151757,27.714936
2937,b'   1408518425373861888',65.511821,28.34591
2938,b'   1408526121955256320',65.097318,27.633762
2939,b'   1408535742681999360',64.829118,27.520874
2940,b'   1408536017559906304',64.840898,27.74768
2941,b'   1408538766338975744',64.923791,27.969747
2942,b'   1408544263897114624',65.042393,28.587255
2943,b'   1408547287554091008',64.946284,28.332629
2944,b'   1408553334868043776',64.865889,28.392556
2945,b'   1408556908280834048',64.757117,27.548148
2946,b'   1408559382181996544',64.822781,27.669116
2947,b'   1408562955594786816',64.599192,28.143402
2948,b'   1408566803885484032',64.559187,28.138264
2949,b'   1408571476809902080',64.61371,27.757201
2950,b'   1408579998025017344',64.06414,27.816395
2951,b'   1408582746804086784',64.504681,27.745617
2952,b'   1408584121193621504',63.932249,28.540077
2953,b'   1408588794118039552',63.933483,28.974399
2954,b'   1408606661181990912',64.595609,28.920878
2955,b'   1408610509472688128',64.455573,28.950114
2956,b'   1408610784350595072',64.599287,28.865305
2957,b'   1408619305565710336',64.793223,28.849703
2958,b'   1408632774583150592',64.943642,28.828699
2959,b'   1408676205292447744',66.597774,28.929348
2960,b'   1409664666346481664',65.206321,30.241838
2961,b'   1409677035852294144',64.794658,30.906479
2962,b'   1409694902916245504',64.508452,29.784746
2963,b'   1409698476329035776',64.156112,30.698716
2964,b'   1409716343392987136',64.376038,32.066518
2965,b'   1409724314852288512',64.280417,31.457052
2966,b'   1410771049989040128',66.272826,32.786934
2967,b'   1410803485582059520',64.761037,32.888315
2968,b'   1410833997029730304',64.447414,32.635146
2969,b'   1410843617756473344',64.599892,34.635922
2970,b'   1410862309454145536',64.398616,33.527272
2971,b'   1410866707500656640',65.139881,33.971898
2972,b'   1410898868215769088',65.747392,33.996064
2973,b'   1410912886989023232',66.54937,33.355605
2974,b'   1411881831577446400',65.068692,24.830501
2975,b'   1411885404990236672',65.441917,25.473116
2976,b'   1411887054257678336',65.434937,25.525963
2977,b'   1411888153769306112',65.317266,25.554356
2978,b'   1411888703525120000',65.563421,25.40752
2979,b'   1411888978403026944',65.487869,25.447955
2980,b'   1411896674984421376',65.034288,25.160811
2981,b'   1411911793269303296',63.975623,24.480781
2982,b'   1411919214972790784',64.414774,25.706253
2983,b'   1411932134234417152',63.83247,25.611183
2984,b'   1411953024955344896',62.922789,25.587785
2985,b'   1411973640798365696',62.910062,26.446464
2986,b'   1411988484205340672',63.496951,25.922594
2987,b'   1412017346385569792',64.576529,25.90788
2988,b'   1412050331734403072',65.497077,25.623636
2989,b'   1413009655461865472',67.938139,24.919429
2990,b'   1413016527409539072',67.296029,24.252709
2991,b'   1413024223990933504',67.833915,25.158442
2992,b'   1413039342275815424',66.802415,24.150987
2993,b'   1413062432019998720',66.770135,24.325107
2994,b'   1413128402717665280',67.296166,26.488789
2995,b'   1413146544659523584',67.434835,25.99959
2996,b'   1413148468804872192',67.378031,26.461027
2997,b'   1413172932938590208',67.584676,26.5141
2998,b'   1413175956595566592',68.112665,25.563663
2999,b'   1414171838245791744',69.020646,25.336116
3000,b'   1414173762391140352',69.063635,25.351598
3001,b'   1414188605798115328',68.64711,24.762858
3002,b'   1414189980187650048',68.67657,24.569079
3003,b'   1414200150670206976',68.438259,24.343338
3004,b'   1414207297495787520',67.671266,25.363169
3005,b'   1414229837484156928',68.703903,26.368903
3006,b'   1414249353815549952',68.694406,25.468512
3007,b'   1414253202106247168',68.98756,26.431928
3008,b'   1414257050396944384',69.091874,25.799451
3009,b'   1414285087943452672',69.456846,26.058692
3010,b'   1415265303264258048',72.313252,24.618724
3011,b'   1415265853020071936',72.255533,24.70492
3012,b'   1415275198868908032',71.725598,24.390707
3013,b'   1415351340049131520',70.462245,26.477946
3014,b'   1415352164682852352',70.367783,26.484401
3015,b'   1415354913461921792',70.443418,26.30277
3016,b'   1415356562729363456',70.519666,26.088316
3017,b'   1415357112485177344',70.54178,26.242226
3018,b'   1415359311508432896',70.517222,26.186681
3019,b'   1415360960775874560',70.584075,26.318854
3020,b'   1415367832723548160',70.614618,26.204482
3021,b'   1415370306624710656',70.728751,25.941549
3022,b'   1415371131258431488',70.750675,26.142325
3023,b'   1415376079060756480',70.743547,26.26339
3024,b'   1415380477107267584',70.988112,25.855269
3025,b'   1415380751985174528',70.998836,25.890921
3026,b'   1415382401252616192',70.931421,25.996495
3027,b'   1417547889185417216',94.68557,0.59725339
3028,b'   1417558334545881088',94.807061,-0.78430872
3029,b'   1417570704051693568',94.598168,-0.80806474
3030,b'   1417581149412157440',94.277604,-0.75531741
3031,b'   1417597092330760192',93.742693,1.2851189
3032,b'   1417613310127269888',94.618572,1.3347061
3033,b'   1417616883540060160',94.550835,1.2764221
3034,b'   1417628703290058752',94.739822,1.3950061
3035,b'   1417660314249357312',95.366606,1.2548232
3036,b'   1417669660098193408',95.550117,1.2740498
3037,b'   1417671034487728128',95.516193,1.3509601
3038,b'   1417672408877262848',95.478955,1.3055627
3039,b'   1422047911658678272',117.00802,20.56024
3040,b'   1422106735530764288',116.57787,21.740738
3041,b'   1423255450287106048',119.471,23.597839
3042,b'   1423294208071985152',120.47984,23.044716
3043,b'   1424370080166209536',121.52034,25.290041
3044,b'   1424375852602255360',121.5587,24.712289
3045,b'   1425397573849475072',124.38423,25.283879
3046,b'   1426619135009253376',126.47758,28.444886
3047,b'   1427641405961955328',129.49658,28.596826
3048,b'   1427713698851481600',127.90686,28.794166
3049,b'   1427794512956123136',129.19674,29.330516
3050,b'   1428782424220788736',130.78853,29.599261
3051,b'   1428850868819617792',129.00758,29.749643
3052,b'   1428896498552170496',130.26895,30.254434
3053,b'   1428913540982401024',131.20456,31.295133
3054,b'   1429966324271966208',131.01144,30.587121
